ID_Mahasiswa,Prodi,IPK,IPS_Terakhir,Persentase_Kehadiran,SKS_Lulus,Jumlah_Organisasi,Kondisi_Ekonomi,Kualitas_Akses_Internet,Pengalaman_Magang,Jumlah_Sertifikasi,Aktivitas_Sosial_Skor,Status_Pekerjaan,Dukungan_Keluarga,Skor_Softskill,Kelulusan_Tepat_Waktu,Arah_Karier
MHS00001,Komputer,3.1,3.13,90,108,1,Menengah,Cukup,Tidak,2,7,Tidak Bekerja,5,4,Tidak Tepat Waktu,Startup
MHS00002,Manajemen,2.73,2.63,68,121,1,Menengah,Baik,Ya,3,5,Part-time,2,6,Tidak Tepat Waktu,Wirausaha
MHS00003,Bisnis Digital,3.53,3.45,100,119,2,Menengah,Cukup,Ya,4,3,Tidak Bekerja,2,8,Tepat Waktu,Startup
MHS00004,Manajemen,3.08,3.06,83,111,2,Tinggi,Baik,Tidak,2,8,Tidak Bekerja,4,7,Tidak Tepat Waktu,Pemerintahan
MHS00005,Bisnis Digital,3.81,3.91,69,126,1,Tinggi,Baik,Tidak,3,1,Part-time,2,10,Tepat Waktu,Lanjut Studi
MHS00006,Komputer,3.36,3.5,82,126,0,Menengah,Cukup,Ya,3,6,Freelance,2,7,Tepat Waktu,Data Analyst
MHS00007,Manajemen,3.44,3.52,86,123,1,Rendah,Cukup,Ya,1,7,Tidak Bekerja,3,7,Tepat Waktu,Marketing
MHS00008,Manajemen,3.43,3.73,94,143,3,Menengah,Kurang,Ya,2,7,Part-time,3,9,Tepat Waktu,Human Resource
MHS00009,Manajemen,3.26,3.42,99,109,2,Tinggi,Cukup,Ya,2,3,Freelance,5,6,Tepat Waktu,Marketing
MHS00010,Manajemen,3.27,3.08,73,132,1,Rendah,Kurang,Ya,4,4,Tidak Bekerja,3,6,Tepat Waktu,Human Resource
MHS00011,Bisnis Digital,3.68,3.89,94,126,1,Rendah,Cukup,Ya,5,8,Tidak Bekerja,3,8,Tepat Waktu,Digital Marketing
MHS00012,Bisnis Digital,3.23,3.47,95,104,1,Menengah,Cukup,Ya,5,7,Freelance,3,7,Tepat Waktu,Startup
MHS00013,Manajemen,3.42,3.3,82,133,1,Menengah,Cukup,Ya,2,6,Part-time,2,8,Tepat Waktu,Marketing
MHS00014,Manajemen,3.29,3.17,86,132,2,Tinggi,Baik,Ya,1,6,Tidak Bekerja,2,8,Tepat Waktu,Industri Manajemen
MHS00015,Manajemen,2.83,2.63,74,118,1,Menengah,Cukup,Tidak,0,6,Tidak Bekerja,3,4,Tidak Tepat Waktu,Lanjut Studi
MHS00016,Komputer,2.88,2.62,99,87,0,Menengah,Cukup,Tidak,4,9,Freelance,1,7,Tidak Tepat Waktu,Data Analyst
MHS00017,Bisnis Digital,3.61,3.85,81,111,3,Tinggi,Cukup,Tidak,4,5,Tidak Bekerja,4,9,Tepat Waktu,Content Strategist
MHS00018,Bisnis Digital,3.18,3.15,86,91,1,Menengah,Cukup,Tidak,5,6,Freelance,4,6,Tepat Waktu,Wirausaha Digital
